year,team_name,total_points,podiums,wins,avg_finish,team_label,avg_search_interest,max_search_interest
2018,Ferrari,571.0,24,6,4.928571428571429,Ferrari,0.0,0
2018,McLaren,62.0,0,0,12.761904761904763,McLaren,0.0,0
2018,Mercedes,655.0,25,11,3.857142857142857,Mercedes,0.0,0
2018,Red Bull,419.0,13,4,7.642857142857143,Red Bull,0.0,0
2019,Ferrari,504.0,19,3,6.0,Ferrari,0.0,0
2019,McLaren,145.0,1,0,10.69047619047619,McLaren,0.0,0
2019,Mercedes,739.0,32,15,3.238095238095238,Mercedes,0.0,0
2019,Red Bull,417.0,9,3,6.261904761904762,Red Bull,0.0,0
2020,Ferrari,131.0,3,0,10.705882352941176,Ferrari,0.0,0
2020,McLaren,202.0,2,0,8.617647058823529,McLaren,2.25,13
2020,Mercedes,573.0,25,13,3.735294117647059,Mercedes,0.0,0
2020,Red Bull,319.0,13,2,7.705882352941177,Red Bull,0.0,0
2021,Ferrari,322.5,5,0,7.113636363636363,Ferrari,0.4166666666666667,5
2021,McLaren,274.0,5,1,7.795454545454546,McLaren,12.416666666666666,19
2021,Mercedes,604.5,28,9,5.409090909090909,Mercedes,1.5,7
2021,Red Bull,578.5,23,11,5.840909090909091,Red Bull,25.166666666666668,81
2022,Ferrari,519.0,20,4,6.681818181818182,Ferrari,13.25,29
2022,McLaren,150.0,1,0,10.636363636363637,McLaren,14.0,25
2022,Mercedes,495.0,17,1,5.5227272727272725,Mercedes,11.166666666666666,19
2022,Red Bull,724.0,28,17,4.454545454545454,Red Bull,37.166666666666664,70
2023,Ferrari,363.0,9,1,7.863636363636363,Ferrari,15.916666666666666,38
2023,McLaren,266.0,9,0,9.454545454545455,McLaren,16.083333333333332,43
2023,Mercedes,374.0,8,0,7.136363636363637,Mercedes,17.333333333333332,24
2023,Red Bull,790.0,30,21,3.5681818181818183,Red Bull,41.333333333333336,90
2024,Ferrari,595.0,22,5,5.145833333333333,Ferrari,39.833333333333336,79
2024,McLaren,609.0,21,6,4.708333333333333,McLaren,41.5,70
2024,Mercedes,433.0,9,4,6.854166666666667,Mercedes,16.25,26
2024,Red Bull,537.0,18,9,6.625,Red Bull,40.166666666666664,71
