year,team_name,total_points,podiums,wins,avg_finish,team_label
2018,Ferrari,571.0,24,6,4.928571428571429,Ferrari
2018,Force India,111.0,1,0,11.19047619047619,Force India
2018,Haas F1 Team,93.0,0,0,11.976190476190476,Haas F1 Team
2018,McLaren,62.0,0,0,12.761904761904763,McLaren
2018,Mercedes,655.0,25,11,3.857142857142857,Mercedes
2018,Red Bull,419.0,13,4,7.642857142857143,Red Bull
2018,Renault,122.0,0,0,11.071428571428571,Renault
2018,Sauber,48.0,0,0,12.785714285714286,Sauber
2018,Toro Rosso,33.0,0,0,13.880952380952381,Toro Rosso
2018,Williams,7.0,0,0,14.904761904761905,Williams
2019,Alfa Romeo,57.0,0,0,12.738095238095237,Alfa Romeo
2019,Ferrari,504.0,19,3,6.0,Ferrari
2019,Haas F1 Team,28.0,0,0,14.404761904761905,Haas F1 Team
2019,McLaren,145.0,1,0,10.69047619047619,McLaren
2019,Mercedes,739.0,32,15,3.238095238095238,Mercedes
2019,Racing Point,73.0,0,0,11.785714285714286,Racing Point
2019,Red Bull,417.0,9,3,6.261904761904762,Red Bull
2019,Renault,91.0,0,0,11.976190476190476,Renault
2019,Toro Rosso,85.0,2,0,11.5,Toro Rosso
2019,Williams,1.0,0,0,16.404761904761905,Williams
2020,Alfa Romeo,8.0,0,0,13.852941176470589,Alfa Romeo
2020,AlphaTauri,107.0,1,1,10.705882352941176,Alphatauri
2020,Ferrari,131.0,3,0,10.705882352941176,Ferrari
2020,Haas F1 Team,3.0,0,0,15.794117647058824,Haas F1 Team
2020,McLaren,202.0,2,0,8.617647058823529,McLaren
2020,Mercedes,573.0,25,13,3.735294117647059,Mercedes
2020,Racing Point,210.0,4,1,9.205882352941176,Racing Point
2020,Red Bull,319.0,13,2,7.705882352941177,Red Bull
2020,Renault,181.0,3,0,8.941176470588236,Renault
2020,Williams,0.0,0,0,15.735294117647058,Williams
2021,Alfa Romeo,13.0,0,0,13.204545454545455,Alfa Romeo
2021,AlphaTauri,142.0,1,0,11.272727272727273,Alphatauri
2021,Alpine F1 Team,155.0,2,1,10.25,Alpine F1 Team
2021,Aston Martin,77.0,1,0,12.0,Aston Martin
2021,Ferrari,322.5,5,0,7.113636363636363,Ferrari
2021,Haas F1 Team,0.0,0,0,17.386363636363637,Haas F1 Team
2021,McLaren,274.0,5,1,7.795454545454546,McLaren
2021,Mercedes,604.5,28,9,5.409090909090909,Mercedes
2021,Red Bull,578.5,23,11,5.840909090909091,Red Bull
2021,Williams,23.0,1,0,14.727272727272727,Williams
2022,Alfa Romeo,53.0,0,0,13.204545454545455,Alfa Romeo
2022,AlphaTauri,35.0,0,0,13.522727272727273,Alphatauri
2022,Alpine F1 Team,170.0,0,0,9.863636363636363,Alpine F1 Team
2022,Aston Martin,55.0,0,0,11.886363636363637,Aston Martin
2022,Ferrari,519.0,20,4,6.681818181818182,Ferrari
2022,Haas F1 Team,33.0,0,0,14.272727272727273,Haas F1 Team
2022,McLaren,150.0,1,0,10.636363636363637,McLaren
2022,Mercedes,495.0,17,1,5.5227272727272725,Mercedes
2022,Red Bull,724.0,28,17,4.454545454545454,Red Bull
2022,Williams,8.0,0,0,14.954545454545455,Williams
2023,Alfa Romeo,16.0,0,0,14.0,Alfa Romeo
2023,AlphaTauri,22.0,0,0,13.613636363636363,Alphatauri
2023,Alpine F1 Team,110.0,2,0,11.272727272727273,Alpine F1 Team
2023,Aston Martin,266.0,8,0,8.909090909090908,Aston Martin
2023,Ferrari,363.0,9,1,7.863636363636363,Ferrari
2023,Haas F1 Team,9.0,0,0,15.068181818181818,Haas F1 Team
2023,McLaren,266.0,9,0,9.454545454545455,McLaren
2023,Mercedes,374.0,8,0,7.136363636363637,Mercedes
2023,Red Bull,790.0,30,21,3.5681818181818183,Red Bull
2023,Williams,26.0,0,0,14.113636363636363,Williams
2024,Alpine F1 Team,63.0,2,0,13.3125,Alpine F1 Team
2024,Aston Martin,94.0,0,0,11.770833333333334,Aston Martin
2024,Ferrari,595.0,22,5,5.145833333333333,Ferrari
2024,Haas F1 Team,51.0,0,0,12.395833333333334,Haas F1 Team
2024,McLaren,609.0,21,6,4.708333333333333,McLaren
2024,Mercedes,433.0,9,4,6.854166666666667,Mercedes
2024,RB F1 Team,40.0,0,0,13.291666666666666,Rb F1 Team
2024,Red Bull,537.0,18,9,6.625,Red Bull
2024,Sauber,4.0,0,0,15.666666666666666,Sauber
2024,Williams,17.0,0,0,15.127659574468085,Williams
